id,color,size,body_shape,habitat,nest_type,food_source,aggressiveness,life_span(days),queen_egg_rate(per day),queen_presence_per_hive,worker_population,drone_population(% of worker_population),honeycomb_structure,wax_production,honey_production,communication_method,predators,hibernation,migration,species
20,golden,medium,round,garden,cavity,flowers,,29,1516,1,24226,11.03,hexagonal,TRUE,TRUE,dance,birds,TRUE,FALSE,bee
21,golden,large,round,forest,ground,etc,unidentified,2,1771,1,17466,10.13,hexagonal,TRUE,TRUE,dance,frogs,TRUE,FALSE,bee
22,yellow,small,round,garden,ground,etc,humanfriendly,8,1554,3,50280,13.8,hexagonal,TRUE,TRUE,dance,spiders,TRUE,FALSE,bee
23,golden,medium,round,meadow,tree,etc,unidentified,12,1916,1,11121,11.53,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
24,golden,medium,round,,ground,etc,unidentified,4,1728,1,31397,15.93,hexagonal,TRUE,TRUE,dance,spiders,TRUE,FALSE,bee
25,golden,large,round,garden,ground,flowers,humanfriendly,19,1730,2,59636,15.75,hexagonal,TRUE,TRUE,dance,frogs,TRUE,FALSE,bee
26,golden,large,round,garden,ground,etc,humanfriendly,,1768,2,15683,14.02,hexagonal,TRUE,TRUE,dance,spiders,TRUE,FALSE,bee
27,golden,medium,round,forest,tree,fruits,humanfriendly,7,1913,1,49175,12.44,hexagonal,TRUE,TRUE,dance,birds,TRUE,FALSE,bee
28,golden,medium,round,garden,ground,flowers,humanfriendly,13,1837,1,58384,9.04,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
29,golden,medium,round,forest,tree,fruits,humanfriendly,21,1974,3,58977,10.53,hexagonal,TRUE,TRUE,dance,birds,TRUE,FALSE,bee
30,yellow,medium,round,forest,tree,flowers,humanfriendly,4,1659,1,20138,12.55,hexagonal,TRUE,TRUE,dance,frogs,TRUE,FALSE,bee
31,golden,medium,round,meadow,ground,fruits,humanfriendly,25,1600,2,40205,11.73,hexagonal,TRUE,TRUE,dance,birds,TRUE,FALSE,bee
32,golden,medium,round,garden,tree,fruits,humanfriendly,26,1921,2,45076,14.78,hexagonal,TRUE,TRUE,dance,spiders,TRUE,FALSE,bee
33,golden,large,round,meadow,tree,flowers,humanfriendly,1,1632,3,55350,9.19,hexagonal,TRUE,TRUE,dance,birds,TRUE,FALSE,bee
34,golden,medium,round,meadow,tree,flowers,unidentified,6,1926,2,36957,9.45,hexagonal,TRUE,TRUE,dance,spiders,TRUE,FALSE,bee
35,yellow,medium,round,forest,cavity,etc,humanfriendly,7,1818,1,26156,11.87,hexagonal,TRUE,TRUE,dance,spiders,TRUE,FALSE,bee
36,yellow,small,round,meadow,cavity,flowers,unidentified,28,1522,3,25847,14.16,hexagonal,TRUE,TRUE,dance,spiders,TRUE,FALSE,bee
37,golden,small,round,garden,ground,flowers,humanfriendly,24,1866,1,26122,13,hexagonal,TRUE,TRUE,dance,birds,TRUE,FALSE,bee
38,golden,small,round,garden,tree,etc,humanfriendly,21,2043,1,23373,15.16,hexagonal,TRUE,TRUE,dance,spiders,TRUE,FALSE,bee
39,golden,large,round,meadow,cavity,flowers,humanfriendly,19,2035,2,26846,14.29,hexagonal,TRUE,TRUE,dance,birds,TRUE,FALSE,bee
40,yellow,large,round,meadow,tree,fruits,humanfriendly,28,2068,2,57562,9.59,hexagonal,TRUE,TRUE,dance,birds,TRUE,FALSE,bee
41,golden,large,round,garden,ground,fruits,humanfriendly,8,1857,3,49247,15.52,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
42,golden,large,round,garden,cavity,etc,,18,1994,1,28215,9.73,hexagonal,TRUE,TRUE,dance,birds,TRUE,FALSE,bee
43,golden,large,round,meadow,tree,flowers,humanfriendly,24,1810,1,31852,15.71,hexagonal,TRUE,TRUE,dance,frogs,TRUE,FALSE,bee
44,golden,large,round,garden,tree,fruits,unidentified,23,1859,1,11890,12.32,hexagonal,TRUE,TRUE,dance,spiders,TRUE,FALSE,bee
45,golden,large,round,forest,ground,flowers,humanfriendly,27,2047,3,65320,13.06,hexagonal,TRUE,TRUE,dance,frogs,TRUE,FALSE,bee
46,golden,small,round,meadow,tree,flowers,unidentified,22,1853,3,64476,15.64,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
47,yellow,large,round,garden,ground,etc,humanfriendly,1,1907,3,36649,9.17,hexagonal,TRUE,TRUE,dance,spiders,TRUE,FALSE,bee
48,golden,large,round,meadow,ground,fruits,unidentified,12,2046,3,9671,15.68,hexagonal,TRUE,TRUE,dance,spiders,TRUE,FALSE,bee
49,golden,medium,round,garden,tree,flowers,humanfriendly,27,1740,1,20323,14.34,hexagonal,TRUE,TRUE,dance,frogs,TRUE,FALSE,bee
50,yellow,small,round,meadow,tree,fruits,,25,1953,1,57575,11.88,hexagonal,TRUE,TRUE,dance,spiders,TRUE,FALSE,bee
51,golden,small,round,forest,tree,flowers,humanfriendly,17,1720,3,49565,13.21,hexagonal,TRUE,TRUE,dance,birds,TRUE,FALSE,bee
52,golden,large,round,forest,ground,etc,unidentified,8,1704,3,43444,12.44,hexagonal,TRUE,TRUE,dance,spiders,TRUE,FALSE,bee
53,golden,small,round,garden,tree,etc,unidentified,5,1652,3,21242,9.49,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
54,golden,medium,round,meadow,tree,fruits,humanfriendly,9,1933,3,22506,9.83,hexagonal,TRUE,TRUE,dance,spiders,TRUE,FALSE,bee
55,yellow,large,round,meadow,tree,fruits,humanfriendly,14,1851,1,24890,10.85,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
56,yellow,medium,round,garden,tree,fruits,humanfriendly,6,1719,3,14583,12.19,hexagonal,TRUE,TRUE,dance,frogs,TRUE,FALSE,bee
57,golden,small,round,forest,tree,etc,unidentified,24,1609,2,12332,13.81,hexagonal,TRUE,TRUE,dance,birds,TRUE,FALSE,bee
58,golden,small,round,garden,cavity,flowers,humanfriendly,19,1541,2,21849,13.6,hexagonal,TRUE,TRUE,dance,spiders,TRUE,FALSE,bee
59,golden,large,round,forest,cavity,etc,humanfriendly,30,1805,2,26778,14.6,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
60,golden,large,round,meadow,tree,flowers,humanfriendly,11,1571,1,29594,14.39,hexagonal,TRUE,TRUE,dance,spiders,TRUE,FALSE,bee
61,golden,small,round,garden,cavity,fruits,humanfriendly,23,1896,3,53965,11.27,hexagonal,TRUE,TRUE,dance,spiders,TRUE,FALSE,bee
62,golden,large,round,garden,cavity,flowers,humanfriendly,10,1837,3,23427,14.62,hexagonal,TRUE,TRUE,dance,birds,TRUE,FALSE,bee
63,golden,large,round,garden,cavity,flowers,,10,2026,3,64754,10.09,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
64,golden,small,round,meadow,ground,flowers,unidentified,8,1531,1,47928,15.66,hexagonal,TRUE,TRUE,dance,birds,TRUE,FALSE,bee
65,golden,large,round,garden,tree,flowers,humanfriendly,7,1857,1,64251,13.63,hexagonal,TRUE,TRUE,dance,spiders,TRUE,FALSE,bee
66,golden,small,round,forest,tree,flowers,,30,1802,3,36190,10.46,hexagonal,TRUE,TRUE,dance,spiders,TRUE,FALSE,bee
67,golden,medium,round,meadow,cavity,fruits,humanfriendly,25,1931,2,44108,14.27,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
68,golden,large,round,meadow,ground,etc,humanfriendly,11,1777,3,31201,9.89,hexagonal,TRUE,TRUE,dance,frogs,TRUE,FALSE,bee
69,golden,medium,round,garden,cavity,flowers,humanfriendly,24,1892,3,64156,13.4,hexagonal,TRUE,TRUE,dance,birds,TRUE,FALSE,bee
70,yellow,large,round,meadow,cavity,etc,humanfriendly,24,1731,1,21282,9.07,hexagonal,TRUE,TRUE,dance,frogs,TRUE,FALSE,bee
71,golden,small,round,forest,ground,etc,humanfriendly,3,1724,2,38707,9.81,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
72,golden,small,round,garden,ground,flowers,unidentified,13,1779,1,26277,9.29,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
73,golden,small,round,garden,tree,flowers,humanfriendly,23,1594,2,28725,13.79,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
74,golden,large,round,forest,cavity,etc,unidentified,6,1821,2,14544,12.69,hexagonal,TRUE,TRUE,dance,frogs,TRUE,FALSE,bee
75,golden,large,round,meadow,tree,fruits,humanfriendly,27,1877,3,49518,15.39,hexagonal,TRUE,TRUE,dance,spiders,TRUE,FALSE,bee
76,golden,small,round,garden,cavity,fruits,humanfriendly,29,1692,2,48635,11.37,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
77,golden,large,round,forest,ground,fruits,humanfriendly,17,1766,1,10998,14.46,hexagonal,TRUE,TRUE,dance,frogs,TRUE,FALSE,bee
78,golden,medium,round,garden,cavity,etc,unidentified,4,1874,1,30041,11.83,hexagonal,TRUE,TRUE,dance,birds,TRUE,FALSE,bee
79,golden,large,round,meadow,ground,etc,unidentified,3,1908,1,36808,15.27,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
80,golden,large,round,meadow,cavity,fruits,unidentified,6,1841,2,38192,14.09,hexagonal,TRUE,TRUE,dance,frogs,TRUE,FALSE,bee
81,golden,small,round,garden,tree,fruits,humanfriendly,2,1773,3,14331,9.88,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
82,golden,medium,round,,ground,fruits,humanfriendly,5,2002,1,41705,15.98,hexagonal,TRUE,TRUE,dance,frogs,TRUE,FALSE,bee
83,golden,large,round,garden,tree,etc,humanfriendly,29,2053,3,44193,11.88,hexagonal,TRUE,TRUE,dance,frogs,TRUE,FALSE,bee
84,golden,medium,round,forest,cavity,fruits,humanfriendly,26,1728,1,14364,10.14,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
85,yellow,medium,round,garden,cavity,fruits,unidentified,26,1636,1,37826,10.72,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
86,golden,medium,round,garden,ground,flowers,,11,1747,1,22713,10.14,hexagonal,TRUE,TRUE,dance,spiders,TRUE,FALSE,bee
87,golden,small,round,garden,tree,fruits,unidentified,17,1680,3,52160,14.2,hexagonal,TRUE,TRUE,dance,frogs,TRUE,FALSE,bee
88,yellow,large,round,meadow,cavity,etc,unidentified,7,1731,1,63580,11.23,hexagonal,TRUE,TRUE,dance,birds,TRUE,FALSE,bee
89,golden,medium,round,meadow,ground,fruits,unidentified,14,1771,3,12564,15.62,hexagonal,TRUE,TRUE,dance,birds,TRUE,FALSE,bee
90,yellow,large,round,garden,ground,etc,humanfriendly,28,1723,1,29091,9.69,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
91,golden,large,round,garden,ground,flowers,unidentified,7,1802,1,46297,9.38,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
92,golden,small,round,garden,cavity,fruits,humanfriendly,9,1522,1,52437,10.24,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
93,golden,small,round,garden,tree,fruits,unidentified,10,1609,2,37284,11.4,hexagonal,TRUE,TRUE,dance,birds,TRUE,FALSE,bee
94,golden,large,round,garden,ground,etc,humanfriendly,2,1711,1,36887,11.51,hexagonal,TRUE,TRUE,dance,spiders,TRUE,FALSE,bee
95,golden,medium,round,meadow,tree,flowers,unidentified,27,1850,3,9859,11.84,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
96,yellow,large,round,garden,ground,flowers,humanfriendly,1,2014,2,12033,14.37,hexagonal,TRUE,TRUE,dance,spiders,TRUE,FALSE,bee
97,golden,medium,round,garden,cavity,flowers,humanfriendly,16,1542,2,31369,11.58,hexagonal,TRUE,TRUE,dance,birds,TRUE,FALSE,bee
98,golden,medium,round,garden,cavity,flowers,,28,2063,3,45175,10.4,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
99,yellow,medium,round,garden,cavity,fruits,humanfriendly,3,1626,2,51062,14.49,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
100,golden,medium,round,garden,ground,fruits,humanfriendly,9,1879,2,23618,12.29,hexagonal,TRUE,TRUE,dance,birds,TRUE,FALSE,bee
101,golden,medium,round,meadow,tree,flowers,humanfriendly,18,1772,2,55131,9.67,hexagonal,TRUE,TRUE,dance,birds,TRUE,FALSE,bee
102,golden,medium,round,forest,ground,etc,humanfriendly,24,1628,2,60025,12.17,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
103,yellow,medium,round,meadow,tree,flowers,unidentified,27,1535,1,46346,9.36,hexagonal,TRUE,TRUE,dance,frogs,TRUE,FALSE,bee
104,golden,medium,round,garden,tree,etc,humanfriendly,8,1757,2,63453,14.66,hexagonal,TRUE,TRUE,dance,frogs,TRUE,FALSE,bee
105,golden,small,round,meadow,tree,fruits,humanfriendly,19,1776,3,53779,14.66,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
106,yellow,medium,round,garden,ground,etc,humanfriendly,13,1905,1,65341,11.27,hexagonal,TRUE,TRUE,dance,frogs,TRUE,FALSE,bee
107,golden,small,round,garden,cavity,fruits,humanfriendly,30,1634,3,21779,10.34,hexagonal,TRUE,TRUE,dance,spiders,TRUE,FALSE,bee
108,golden,small,round,forest,tree,etc,unidentified,2,1513,3,23924,14.82,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
109,golden,medium,round,garden,cavity,etc,unidentified,7,1526,1,53897,15.71,hexagonal,TRUE,TRUE,dance,frogs,TRUE,FALSE,bee
110,golden,small,round,garden,cavity,etc,humanfriendly,23,1848,1,59888,11.55,hexagonal,TRUE,TRUE,dance,birds,TRUE,FALSE,bee
111,yellow,medium,round,garden,cavity,fruits,,6,1902,1,53770,10.69,hexagonal,TRUE,TRUE,dance,spiders,TRUE,FALSE,bee
112,golden,medium,round,forest,ground,etc,humanfriendly,4,1993,3,10866,9.69,hexagonal,TRUE,TRUE,dance,frogs,TRUE,FALSE,bee
113,yellow,medium,round,garden,tree,fruits,unidentified,1,2067,1,22433,15.33,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
114,yellow,large,round,forest,ground,fruits,humanfriendly,19,1985,3,60817,10.33,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
115,yellow,small,round,meadow,tree,fruits,humanfriendly,3,1983,2,33266,14.21,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
116,golden,small,round,meadow,cavity,fruits,unidentified,13,1698,1,45214,9.43,hexagonal,TRUE,TRUE,dance,spiders,TRUE,FALSE,bee
117,golden,medium,round,garden,tree,flowers,unidentified,14,1869,3,46363,12.62,hexagonal,TRUE,TRUE,dance,birds,TRUE,FALSE,bee
118,golden,medium,round,meadow,ground,fruits,unidentified,24,1702,3,33669,11.82,hexagonal,TRUE,TRUE,dance,frogs,TRUE,FALSE,bee
119,golden,large,round,forest,tree,flowers,humanfriendly,23,1690,2,19775,9.73,hexagonal,TRUE,TRUE,dance,frogs,TRUE,FALSE,bee
120,golden,small,round,garden,ground,flowers,unidentified,24,1535,2,28584,9.48,hexagonal,TRUE,TRUE,dance,frogs,TRUE,FALSE,bee
121,golden,medium,round,garden,ground,fruits,unidentified,14,1511,1,56333,11.73,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
122,yellow,large,round,meadow,cavity,fruits,unidentified,21,1679,1,64388,12.13,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
123,golden,large,round,meadow,tree,fruits,unidentified,17,1548,2,27947,14.4,hexagonal,TRUE,TRUE,dance,birds,TRUE,FALSE,bee
124,golden,medium,round,garden,ground,fruits,unidentified,27,1956,1,12384,12.35,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
125,golden,large,round,garden,ground,fruits,unidentified,1,1559,1,51585,14.86,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
126,yellow,large,round,garden,tree,etc,humanfriendly,2,1965,1,17342,11.02,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
127,golden,large,round,meadow,tree,flowers,humanfriendly,20,1997,2,40439,12.85,hexagonal,TRUE,TRUE,dance,frogs,TRUE,FALSE,bee
128,golden,small,round,garden,ground,fruits,humanfriendly,3,1655,2,24602,13.24,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
129,golden,medium,round,garden,tree,etc,humanfriendly,18,1650,2,23822,12.98,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
130,golden,small,round,garden,ground,fruits,humanfriendly,8,1558,1,9757,12.57,hexagonal,TRUE,TRUE,dance,spiders,TRUE,FALSE,bee
131,yellow,small,round,forest,ground,,unidentified,10,1723,1,44520,13.73,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
132,golden,medium,round,meadow,tree,flowers,humanfriendly,13,1537,2,12759,14.72,hexagonal,TRUE,TRUE,dance,spiders,TRUE,FALSE,bee
133,golden,large,round,garden,tree,fruits,humanfriendly,21,2080,1,27981,9.48,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
134,golden,medium,round,,ground,fruits,unidentified,14,2001,3,35241,10.9,hexagonal,TRUE,TRUE,dance,frogs,TRUE,FALSE,bee
135,golden,small,round,garden,tree,fruits,unidentified,24,2055,1,58669,14.97,hexagonal,TRUE,TRUE,dance,birds,TRUE,FALSE,bee
136,golden,medium,round,forest,ground,flowers,humanfriendly,29,2068,2,17605,14.23,hexagonal,TRUE,TRUE,dance,frogs,TRUE,FALSE,bee
137,golden,small,round,garden,tree,flowers,humanfriendly,18,1578,2,51244,11.1,hexagonal,TRUE,TRUE,dance,spiders,TRUE,FALSE,bee
138,yellow,large,round,forest,ground,etc,unidentified,3,1551,2,32911,15.49,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
139,golden,large,round,garden,ground,etc,humanfriendly,29,1812,3,40456,13.76,hexagonal,TRUE,TRUE,dance,spiders,TRUE,FALSE,bee
140,golden,large,round,forest,tree,etc,humanfriendly,21,1509,3,48446,13.11,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
141,yellow,medium,round,,ground,etc,humanfriendly,1,1776,1,31574,9.65,hexagonal,TRUE,TRUE,dance,spiders,TRUE,FALSE,bee
142,yellow,medium,round,garden,ground,etc,unidentified,2,1573,1,44022,15.16,hexagonal,TRUE,TRUE,dance,birds,TRUE,FALSE,bee
143,golden,small,round,garden,cavity,flowers,unidentified,27,1755,1,21576,13.84,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
144,golden,large,round,meadow,ground,etc,humanfriendly,27,1774,3,51794,9.74,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
145,yellow,small,round,forest,tree,flowers,humanfriendly,2,1524,1,13981,13.14,hexagonal,TRUE,TRUE,dance,frogs,TRUE,FALSE,bee
146,golden,small,round,garden,ground,etc,humanfriendly,15,1815,1,27545,15.72,hexagonal,TRUE,TRUE,dance,frogs,TRUE,FALSE,bee
147,golden,large,round,garden,tree,flowers,humanfriendly,12,1791,3,12225,14.08,hexagonal,TRUE,TRUE,dance,frogs,TRUE,FALSE,bee
148,yellow,small,round,garden,cavity,fruits,unidentified,23,1749,2,46943,11.69,hexagonal,TRUE,TRUE,dance,frogs,TRUE,FALSE,bee
149,yellow,large,round,garden,cavity,fruits,unidentified,10,1678,2,21049,15.29,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
150,golden,small,round,garden,tree,fruits,unidentified,13,2079,1,56898,15.31,hexagonal,TRUE,TRUE,dance,birds,TRUE,FALSE,bee
151,yellow,small,round,garden,tree,etc,,7,1615,3,12941,13.8,hexagonal,TRUE,TRUE,dance,spiders,TRUE,FALSE,bee
152,yellow,small,round,garden,cavity,etc,humanfriendly,28,1864,3,53183,9.7,hexagonal,TRUE,TRUE,dance,birds,TRUE,FALSE,bee
153,golden,medium,round,garden,tree,etc,humanfriendly,18,1841,2,31576,10.17,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
154,golden,small,round,garden,ground,flowers,humanfriendly,21,1735,2,14358,14.24,hexagonal,TRUE,TRUE,dance,birds,TRUE,FALSE,bee
155,golden,small,round,garden,ground,fruits,humanfriendly,5,1985,2,44424,12.16,hexagonal,TRUE,TRUE,dance,frogs,TRUE,FALSE,bee
156,yellow,small,round,garden,cavity,etc,humanfriendly,13,1991,2,36419,15.28,hexagonal,TRUE,TRUE,dance,frogs,TRUE,FALSE,bee
157,golden,small,round,garden,tree,etc,humanfriendly,19,1736,2,13349,9.03,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
158,yellow,small,round,garden,ground,flowers,unidentified,3,2049,2,11877,11.57,hexagonal,TRUE,TRUE,dance,frogs,TRUE,FALSE,bee
159,yellow,medium,round,meadow,ground,fruits,humanfriendly,10,2047,1,34742,11.97,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
160,golden,large,round,garden,cavity,etc,humanfriendly,24,1601,2,53504,11.16,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
161,golden,small,round,garden,tree,etc,humanfriendly,28,1511,2,43181,13.62,hexagonal,TRUE,TRUE,dance,spiders,TRUE,FALSE,bee
162,golden,large,round,garden,cavity,flowers,humanfriendly,15,1593,3,25560,12.62,hexagonal,TRUE,TRUE,dance,spiders,TRUE,FALSE,bee
163,yellow,medium,round,meadow,tree,flowers,unidentified,30,1694,2,15916,10.84,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
164,yellow,small,round,garden,cavity,fruits,humanfriendly,28,1817,1,60537,15.66,hexagonal,TRUE,TRUE,dance,spiders,TRUE,FALSE,bee
165,golden,large,round,forest,ground,etc,humanfriendly,22,1852,3,36832,11.59,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
166,golden,small,round,garden,ground,fruits,humanfriendly,12,1851,1,11516,12.68,hexagonal,TRUE,TRUE,dance,frogs,TRUE,FALSE,bee
167,golden,medium,round,forest,ground,fruits,,7,1868,3,46675,13.69,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
168,golden,large,round,garden,cavity,fruits,humanfriendly,9,1635,3,63314,12.06,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
169,yellow,large,round,garden,tree,fruits,humanfriendly,28,1893,1,62832,13.77,hexagonal,TRUE,TRUE,dance,birds,TRUE,FALSE,bee
170,golden,large,round,garden,cavity,etc,unidentified,14,1927,1,35054,9.66,hexagonal,TRUE,TRUE,dance,frogs,TRUE,FALSE,bee
171,golden,medium,round,meadow,cavity,flowers,unidentified,6,2008,3,42183,12.84,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
172,yellow,small,round,garden,tree,fruits,unidentified,6,1956,2,17440,11.63,hexagonal,TRUE,TRUE,dance,spiders,TRUE,FALSE,bee
173,golden,small,round,meadow,tree,flowers,unidentified,8,1998,1,55199,10.11,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
174,golden,medium,round,garden,tree,etc,humanfriendly,3,1803,3,27066,13.56,hexagonal,TRUE,TRUE,dance,spiders,TRUE,FALSE,bee
175,golden,medium,round,garden,tree,etc,unidentified,8,1539,1,48560,11.68,hexagonal,TRUE,TRUE,dance,spiders,TRUE,FALSE,bee
176,golden,small,round,meadow,ground,etc,humanfriendly,9,1664,3,20924,10.07,hexagonal,TRUE,TRUE,dance,spiders,TRUE,FALSE,bee
177,golden,large,round,garden,ground,etc,humanfriendly,24,1613,2,16537,13.9,hexagonal,TRUE,TRUE,dance,frogs,TRUE,FALSE,bee
178,golden,medium,round,garden,tree,fruits,humanfriendly,30,1611,2,21437,10.92,hexagonal,TRUE,TRUE,dance,spiders,TRUE,FALSE,bee
179,golden,large,round,garden,cavity,flowers,humanfriendly,20,1547,3,14118,10.78,hexagonal,TRUE,TRUE,dance,birds,TRUE,FALSE,bee
180,golden,large,round,forest,tree,flowers,humanfriendly,8,1899,3,62704,12.29,hexagonal,TRUE,TRUE,dance,frogs,TRUE,FALSE,bee
181,golden,small,round,forest,tree,fruits,humanfriendly,5,1999,1,41559,11.01,hexagonal,TRUE,TRUE,dance,etc,TRUE,FALSE,bee
182,golden,large,round,garden,ground,flowers,,2,1977,2,19221,9.05,hexagonal,TRUE,TRUE,dance,spiders,TRUE,FALSE,bee
183,golden,large,round,garden,tree,flowers,humanfriendly,26,1688,3,14098,14.1,hexagonal,TRUE,TRUE,dance,birds,TRUE,FALSE,bee
